Reaction	EC-Number	Object ID
CDP + H2O  ->  CMP + phosphate + H+	EC-3.6.1.6	RXN-12198
prekainate + 2-oxoglutarate + dioxygen + H+  ->  kainate lactone + succinate + CO2 + H2O	EC-1.14.11	RXN-20852
phytyl diphosphate + homogentisate + H+  ->  2-methyl-6-phytyl-1,4-benzoquinol + CO2 + diphosphate	EC-2.5.1.115	RXN-2541
glutarate + ATP + coenzyme A  ->  glutaryl-CoA + ADP + phosphate	EC-6.2.1.6	GLUTARATE--COA-LIGASE-RXN
(7Z)-hexadecenoyl-CoA + acetyl-CoA  <-  3-oxo-(9Z)-octadecenoyl-CoA + coenzyme A	EC-2.3.1.16	RXN-17778
(3R)-3-hydroxydotriacontanoyl-CoA  ->  trans-dotriaconta-2-enoyl-CoA + H2O	EC-4.2.1.134	RXN-20342
an alkylsulfonate + FMNH2 + dioxygen  ->  an aldehyde + sulfite + FMN + H2O + 2 H+	EC-1.14.14.5	RXN0-280
L-cysteine + O-phospho-L-homoserine  ->  L-cystathionine + phosphate	EC-2.5.1.48	CYSPH-RXN
a beta-(1,4)-D-mannan + H2O  ->  2 a beta-(1,4)-mannan oligosaccharide	EC-3.2.1.78	3.2.1.78-RXN
an ecdysteroid 22-phosphate + H2O  ->  an ecdysteroid + phosphate	EC-3.1.3	RXN-14734
stearoyl-CoA + alpha,alpha-trehalose  ->  2-stearoyl-trehalose + coenzyme A	EC-2.3.1.279	RXN-17316
versiconal hemiacetal acetate + H2O  ->  versiconal + acetate	EC-3.1.1.94	RXN-9488
glycerol 2-phosphate + CTP + H+  ->  CDP-2-glycerol + diphosphate	EC-2.7.7	RXN-11711
3-(1H-imidazol-4-yl)propanoate + an oxidized electron carrier  <-  urocanate + a reduced two electron carrier	EC-1.3.99.33	RXN-14236
(4S)-4-aminopentanoate + NAD+ + H2O  <-->  4-oxopentanoate + ammonia + NADH + 2 H+	EC-1.4.1.28	RXN-22977
beta-D-galactopyranosyl-(1->6)-D-galactopyranose + H2O  ->  2 D-galactopyranose	EC-3.2.1.M17	RXN-19768
Coalpha-[alpha-(adenin-7-yl)]-Cobeta-adenosylcobamide + H2O  ->  adenosylcobyrate + (2R)-2-[adenine-3'-phospho]-(1-aminopropane)	EC-3.5.1.90	RXN-22469
ADP + H2O + H+  =  IDP + ammonium	EC-3.5.4.17 // EC-3.5.4.7	ADP-DEAMINASE-RXN
pyridoxamine + pyruvate  <-->  pyridoxal + L-alanine	EC-2.6.1.30	2.6.1.30-RXN
2,3-dinitrotoluene + NADH + dioxygen  ->  4-methyl-3-nitrocatechol + nitrite + NAD+	EC-1.14.12.23	RXN-16796
S-adenosyl-L-methionine + (S)-scoulerine  ->  S-adenosyl-L-homocysteine + (S)-2-methylscoulerine + H+	EC-2.1.1	RXN-19238
UDP-alpha-D-glucose + sinapyl alcohol  ->  syringin + UDP + H+	EC-2.4.1.111	RXN-90
D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate	EC-5.3.1.1	TRIOSEPISOMERIZATION-RXN
scyllo-inositol + NAD+  <-->  scyllo-inosose + NADH + H+	EC-1.1.1.370	RXN-13779
acetyl-CoA + 15 malonyl-CoA + 3 (S)-methylmalonyl-CoA + 19 NADPH + 37 H+  ->  decarboxy-dehydroxy-demycosaminyl-nystatin + 18 CO2 + 19 coenzyme A + 19 NADP+ + 8 H2O	EC-2.3.1	RXN-16253
palustradienol + NADPH + H+ + dioxygen  ->  palustradiene-diol + NADP+ + H2O	EC-1.14.13	RXN-8524
P1,P5-bis(5'-adenosyl) pentaphosphate + H2O  ->  adenosine tetraphosphate + AMP + 2 H+	EC-3.6.1.60	RXN-10774
fatty acid decarboxylase		RXN-13242
11beta-hydroxytestosterone + NADP+  <-->  11-oxotestosterone + NADPH + H+	EC-1.1.1.146	RXN-21982
(4R)-4-hydroxy-D-proline + a reduced two electron carrier + dioxygen  ->  1-pyrroline-4-hydroxy-2-carboxylate + an oxidized electron carrier + 2 H2O + H+	EC-1.14.19	RXN-8003
15-dehydro-13,14-dihydro-prostaglandin E2 + NAD(P)+  <-  15-dehydro-prostaglandin E2 + NAD(P)H + H+	EC-1.3.1.48	15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN
6-caprolactam + H2O  ->  6-aminohexanoate	EC-3.5.2	R561-RXN
(RS)-linalool  <-->  geraniol	EC-5.4.4.8	RXN-18768
arachidonate + a reduced two electron carrier + dioxygen  ->  15(R)-HETE + an oxidized electron carrier + H2O	EC-1.14.99	RXN66-487
an oxidized factor 420 + 5-methyl-tetrahydrosarcinapterin  <-->  a reduced factor 420 + 5,10-methylene-tetrahydrosarcinapterin	EC-1.5.98	MERMBARK-RXN
2Z-geranylfarnesol  ->  18-episcalar-17(25)-en-19-ol	EC-5.4.99	RXN-15760
CMP-N-acetyl-beta-neuraminate + a ganglioside GD3  ->  a ganglioside GT3 + CMP + H+	EC-2.4.3.8	RXN-18285
sucrose-4-isovalerate-3-isobutanoyltransferase	EC-2.3.1	RXN18C3-29
seleno-L-homocysteine + 5-methyltetrahydropteroyl tri-L-glutamate  ->  L-selenomethionine + tetrahydropteroyl tri-L-glutamate	EC-2.1.1.14	RXN-12730
gamma-glutamylanilide diol + H2O  ->  1-aminocyclohexa-3,5-diene-1,2-diol + L-glutamate	EC-3.5.1.123	RXN-15250
formaldehyde + mycothiol  ->  S-(hydroxymethyl)mycothiol		RXN-6581
a D-ribosyl-base1 + a base2  <-->  a D-ribosyl-base2 + a base1	EC-2.4.2.5	NUCLEOSIDE-RIBOSYLTRANSFERASE-RXN
pyrrole-2-carboxylate + NADH + H+ + dioxygen  ->  5-hydroxypyrrole-2-carboxylate + NAD+ + H2O	EC-1.14.13.130	RXN-12222
a [beta-tubulin]-(alpha-L-glutamyl-gamma-L-glutamyl)-L-glutamate + n ATP + n L-glutamate  ->  a [beta-tubulin]-(alpha-L-glutamyl-(n+1)-gamma-L-glutamyl)-L-glutamate + n ADP + n phosphate + n H+		RXN-20878
5,10-methylene-tetrahydromethanopterin + NAD(P)+  <-->  5,10-methenyltetrahydromethanopterin + NAD(P)H	EC-1.5.1	RXN-2883
glycerol + NAD+  <-->  dihydroxyacetone + NADH + H+	EC-1.1.1.6	GLYCDEH-RXN
(S)-3-hydroxy-(7Z)-tetradecenoyl-CoA + NAD+  ->  3-oxo-(7Z)-tetradecenoyl-CoA + NADH + H+	EC-1.1.1.35	RXN-17794
30-hydroxytriacontanoyl-CoA + (6R)-6-hydroxysphingosine  ->  N-(30-hydroxytriacontanoyl)-(6R)-6-hydroxysphingosine + coenzyme A + H+	EC-2.3.1.298	RXN-20358
cytidine + ATP  ->  CMP + ADP + H+	EC-2.7.1.48 // EC-2.7.1.213	CYTIKIN-RXN
an L-arabinan + n H2O  ->  n an alpha(1,5)-L-arabinan	EC-3.2.1.99	3.2.1.99-RXN
UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose  =  UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hex-4-ulose	EC-5.1.3	RXN-14758
4-hydroxy-2-methyl-4-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-yl]quinolin-3(4H)-one 1-oxide  ->  4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide		RXN-17334
FMNH2 + NAD+  <-  FMN + NADH + 2 H+	EC-1.5.1.42	RXN-9510
(2S)-2,3-dihydroxypropane-1-sulfonate + NADP+  ->  1-hydroxy-2-oxo-3-sulfopropane + NADPH + H+	EC-1.1.1	RXN-11728
(3R)-3-hydroxybutanoyl-CoA + H2O  ->  (R)-3-hydroxybutanoate + coenzyme A + H+	EC-3.1.2	RXN-14255
UTP  ->  cyclic-UMP + diphosphate	EC-4.6.1.26	RXN-23001
S-adenosyl-L-methionine + bromide  ->  S-adenosyl-L-homocysteine + methyl bromide	EC-2.1.1.165	RXN-11268
(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-indene-4-carboxyl-CoA + NAD+  ->  (5R,7aS)-5-hydroxy-7a-methyl-1-oxo-3,5,6,7-tetrahydro-2H-indene-4-carboxyl-CoA + NADH + H+	EC-1.3.1	RXN-19796
carbofuran phenol + FADH2 + dioxygen  ->  3-(2-hydroxy-2-methylpropyl)cyclohexa-3,5-diene-1,2-dione + FAD + H2O + H+		RXN-22490
L-alanine + glyoxylate  <-->  pyruvate + glycine	EC-2.6.1.44	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
L-glutamine + 3-phenyl-2-oxopropanoate  <-->  2-oxoglutaramate + L-phenylalanine	EC-2.6.1.64	2.6.1.64-RXN
(2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate  ->  2-hydroxy-3-[(1E)-3-oxoprop-1-en-1-yl]-2H-pyran-6-carboxylate		RXN-16814
ATP + tabtoxinine-beta-lactam + L-threonine  ->  AMP + beta-tabtoxin + diphosphate + H+	EC-6.3.2	RXN-19254
spermine + dioxygen + H2O  ->  spermidine + 3-aminopropanal + hydrogen peroxide	EC-1.5.3.17 // EC-1.5.3.16	RXN-9015
L-tryptophan + NAD(P)+ + H2O  =  (indol-3-yl)pyruvate + ammonium + NAD(P)H + H+	EC-1.4.1.19	TRYPTOPHAN-DEHYDROGENASE-RXN
UDP-alpha-D-glucose + apigenin 7-O-beta-D-glucoside  ->  apigenin-7-O-gentiobioside + UDP + H+	EC-2.4.1	RXN-13800
deoxynogalonate + dioxygen  ->  nogalonate + H2O	EC-1.13.12.22	RXN-16270
(2E,6E)-farnesyl diphosphate  ->  gamma-humulene + diphosphate	EC-4.2.3.56	RXN-8541
mannan synthase activity		RXN-10795
3 UDP-N-acetyl-alpha-D-galactosamine + N-acetyl-D-galactosaminyl-alpha-(1->4)-N-acetyl-D-galactosaminyl-alpha-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol  ->  (N-acetylgalactosaminyl)5-N,N'-diacetylbacillosaminyl-diphospho-tri-trans,hepta-cis-undecaprenol + 3 UDP + 3 H+	EC-2.4.1.292	RXN-13276
3-hydroxy-L-kynurenine + glyoxylate  <-->  4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate + glycine		RXN-22000
2-oxobutanoate + acetyl-CoA + H2O  ->  (R)-2-ethylmalate + coenzyme A + H+	EC-2.3.3.6	2-ETHYLMALATE-SYNTHASE-RXN
5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate  ->  2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate + H+	EC-5.3.2.5	R82-RXN
(2E,6E)-farnesyl diphosphate + H2O  ->  (+)-corvol ether B + diphosphate	EC-4.2.3.163	RXN-18790
25-hydroxycholest-4-en-3-one + an oxidized electron carrier  ->  25-hydroxycholesta-1,4-dien-3-one + a reduced two electron carrier	EC-1.3.99.4	RXN-21431
(4S,17R)-17-hydroxy-4-hydroperoxydocosahexaenoate  ->  4,5-epoxy-17R-hydroxy-docosahexaenoate + H2O	EC-1.13.11.34	RXN66-504
2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole + dioxygen  ->  2-methyl-3-pentyl-1H-pyrrole + hydrogen peroxide + H+	EC-1.4.3	RXN-15777
3'-phosphoadenylyl-sulfate + a digalactosylceramide  ->  a digalactosylceramide sulfate + adenosine 3',5'-bisphosphate + H+	EC-2.8.2.11	RXN-18303
<i>N</i>-cyclopropylmelamine deaminase		RXN-8018
sucrose-3-(2-methyl)butyryl-4-isovaleroyl-3'-isovaleroyltransferase	EC-2.3.1	RXN18C3-44
5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA 5-dehydrogenase	EC-1.1.1.145	RXN-12747
UDP-alpha-D-galactose + a beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-[beta-D-GlcNAc-(1->6)]-beta-D-Gal-(1->4)-beta-D-GlcNAc-R  ->  an I antigen + UDP + H+	EC-2.4.1.38	RXN-15278
HBOA + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  DIBOA + an oxidized [NADPH-hemoprotein reductase] + H2O + H+	EC-1.14.14.110	RXN-6684
(R)-10-Hydroxystearate  ->  oleate + H2O	EC-4.2.1.53	OLEATE-HYDRATASE-RXN
(Z)-[(4-hydroxyphenyl)acetaldehyde oxime]  ->  (4-hydroxyphenyl)acetonitrile + H2O		RXN-12240
L-asparagine  <-->  D-asparagine	EC-5.1.1.10	RXN-20896
glycine + NAD+ + H2O  <-  glyoxylate + ammonium + NADH + H+	EC-1.4.1.10	GLYCINE-DEHYDROGENASE-RXN
4-[(2-hydroxyethoxy)carbonyl]benzoate + H2O  ->  terephthalate + ethylene glycol + H+	EC-3.1.1.102	RXN-17826
malonyl-CoA + (13Z)-docosenoyl-CoA + H+  ->  (15Z)-3-oxotetracos-15-enoyl-CoA + CO2 + coenzyme A	EC-2.3.1.199	RXN-20375
guanosine hydrolase	EC-3.2.2.1	RXN0-366
D-glutamate  ->  5-oxo-D-proline + H2O	EC-4.2.1.48	D-GLUTAMATE-CYCLASE-RXN
(3E)-undec-3-enoyl-CoA  <-->  (2E)-undec-2-enoyl-CoA	EC-5.3.3.8	RXN-14777
2 coniferyl alcohol + hydrogen peroxide  ->  2 coniferyl alcohol radical + 2 H2O	EC-1.11.1.7	RXN-17352
(indol-3-yl)acetyl-L-leucine + H2O  ->  (indol-3-yl)acetate + L-leucine	EC-3.5.1.M7	RXN-2982
mesifurane  <-->  mesifurane (enol form)		RXN-9575
fluoroacetaldehyde + NAD+ + H2O  ->  fluoroacetate + NADH + 2 H+	EC-1.2.1.69	RXN-11746
trans-tetradec-2-enoyl-CoA hydratase	EC-4.2.1.17	RXN-14273
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoate + a reduced two electron carrier + dioxygen + H+  ->  13-HDoHE + an oxidized electron carrier + H2O	EC-1.14.99	RXN-23023
neryl diphosphate  ->  (4S)-limonene + diphosphate		RXN-11288
staphylopine + NADP+ + H2O  <-  N-[(3S)-3-amino-3-carboxypropyl]-D-histidine + pyruvate + NADPH + H+	EC-1.5.1.52	RXN-19816
a cyclic beta-1,2-glucan + 2 succinyl-CoA  ->  a succinylated cyclic beta-1,2-glucan + 2 coenzyme A	EC-2.3.1	RXN-22507
an aldehyde + NAD(P)+ + H2O  =  a carboxylate + NAD(P)H + 2 H+	EC-1.2.1.5	ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN
a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ATP  ->  1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate + ADP + H+	EC-2.7.1.150	2.7.1.150-RXN
stipitaldehydate + NADPH + dioxygen + H+  ->  stipitatonate + NADP+ + 2 H2O	EC-1.14.13	RXN-16831
3-geranyl-3-[(Z)-2-isocyanoethenyl]-1H-indole  ->  12-epi-hapalindole U	EC-5.5.1.32	RXN-19273
UDP-alpha-D-glucose + soyasapogenol E  ->  soyasapogenol-E-3-O-beta-D-glucoside + UDP + H+	EC-2.4.1	RXN-9038
UDP-beta-L-arabinopyranose  <-->  UDP-alpha-D-xylose	EC-5.1.3.5	UDP-ARABINOSE-4-EPIMERASE-RXN
UDP-alpha-D-glucose + (+)-sesaminol 2-O-beta-D-glucoside  ->  (+)-sesaminol 2-O-beta-D-gentiobioside + UDP + H+	EC-2.4.1	RXN-13819
N-3-fumaramoyl-L-2,3-diaminopropanoate + L-isoleucine + ATP  ->  dapdiamide B + ADP + phosphate + H+	EC-6.3.2.47	RXN-16292
(2E,6E)-farnesyl diphosphate  ->  longicyclene + diphosphate	EC-4.2.3	RXN-8558
(E)-caffeoyl-CoA + (S)-malate  ->  phaselate + coenzyme A		RXN-10825
malonyl-CoA + arachidoyl-CoA + H+  ->  3-oxobehenoyl-CoA + CO2 + coenzyme A	EC-2.3.1.199	RXN-13295
2-heptyl-4-quinolone  <-->  2-heptyl-4-hydroxyquinoline		RXN-22018
aci-nitroethane + FMNH2 + dioxygen  ->  acetaldehyde + nitrite + FMN + H2O + 2 H+	EC-1.13.12.16	2-NITROPROPANE-DIOXYGENASE-RXN
D-ribitol 5-phosphate + NADP+  <-  D-ribulose 5-phosphate + NADPH + H+	EC-1.1.1.405	RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN
a galactomannan (Aspergillus) + 5 H2O  ->  a galactofuranosemannan core (Aspergillus) + 5 D-galactofuranose	EC-3.2.1.M10	RXN-18817
(25R)-26-hydroxycholest-4-en-3-one + an oxidized electron carrier  ->  (25R)-26-oxocholest-4-en-3-one + a reduced two electron carrier		RXN-21458
(R)-4'-phosphopantothenate + L-cysteine + ATP  ->  (R)-4'-phosphopantothenoyl-L-cysteine + AMP + diphosphate + H+	EC-6.3.2.51	RXN66-555
2 anthranilate + L-tryptophan + 3 ATP  ->  asperlicin D + 3 AMP + 3 diphosphate + H2O + H+	EC-6.3.2	RXN-15798
UDP-4-amino-D-fucose + 2-oxoglutarate  <-->  UDP-4-dehydro-6-deoxy-alpha-D-glucose + L-glutamate	EC-2.6.1.92	RXN-18319
cis-coumarinic acid-beta-D-glucoside + H2O  ->  coumarinate + D-glucopyranose	EC-3.2.1.21	RXN-8036
catecho <i>O</i>-methyltransferase	EC-2.1.1.6	RXN18C3-60
1-hydroxy-2-naphthoate + NAD(P)H + dioxygen + 2 H+  ->  naphthalene-1,2-diol + CO2 + NAD(P)+ + H2O	EC-1.14.13.135	RXN-12763
5-methyl-1-naphthoate + NADPH + H+ + dioxygen  ->  3-hydroxy-5-methyl-1-naphthoate + NADP+ + H2O	EC-1.14.13.189	RXN-15303
5-amino-2-oxopentanoate  ->  1-pyrroline-2-carboxylate + H2O + H+		RXN-6861
(S)-dihydroorotate + NADP+  ->  orotate + NADPH + H+	EC-1.3.1.15	OROTATE-REDUCTASE-NADPH-RXN
2 a 1,2-diacyl-3-O-(beta-D-galactopyranosyl)-sn-glycerol  ->  a 1,2-diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol + a 1,2-diacyl-sn-glycerol	EC-2.4.1.184	RXN-1226
1,2-dipalmitoyl-phosphatidylserine[periplasm] + lipid IVA (E. coli)[periplasm]  ->  lipid IVB[periplasm] + 2-palmitoyl-sn-glycero-3-phosphoserine[periplasm]	EC-2.3.1.251	RXN-20919
D-glucose 6-sulfate + H2O  ->  sulfate + D-glucopyranose + H+	EC-3.1.6.3	GLYCOSULFATASE-RXN
an N-terminal-L-methionyl-L-glutaminyl-[protein] + acetyl-CoA  ->  an N-terminal Nalpha-acetyl-L-methionyl-L-glutaminyl-[protein] + coenzyme A + H+	EC-2.3.1.254	RXN-17851
phenylacetate + H+  ->  toluene + CO2	EC-4.1.1.119	RXN-20391
2-trans-nonenoyl-CoA + acetyl-CoA  <-  4-trans-3-oxo-undecenoyl-CoA + coenzyme A	EC-2.3.1.16	RXN-14793
GTP + valienol 1-phosphate + H+  ->  GDP-valienol + diphosphate	EC-2.7.7.91	RXN-17377
isoliquiritigenin  ->  (2S)-liquiritigenin	EC-5.5.1.6	RXN-3221
a primary amine[periplasm] + H2O[periplasm] + dioxygen[periplasm] + H+[periplasm]  ->  an aldehyde[periplasm] + ammonium[periplasm] + hydrogen peroxide[periplasm]	EC-1.4.3.21	RXN-9597
mono-rhamnolipid synthase		RXN-11763
dATP + 2 hydroxyl radical  ->  2-hydroxy-dATP + H2O		RXN-14290
cannabinolate + H+  ->  cannabinol + CO2		RXN-23071
D-deoxyribose 1,5-phosphomutase	EC-5.4.2.7	D-PPENTOMUT-RXN
N,N'-diacetylchitobiose + H2O  ->  N-acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine + acetate	EC-3.5.1.105	RXN-11313
a 1-alkyl-2-acetyl-sn-glycero 3-phosphate + H2O  ->  1-O-alkyl-2-acetyl-sn-glycerol + phosphate	EC-3.1.3.59	ALKYLACETYLGLYCEROPHOSPHATASE-RXN
ATP + a [protein]-L-tyrosine  ->  ADP + a [protein]-L-tyrosine phosphate + H+	EC-2.7.10.1 // EC-2.7.10.3 // EC-2.7.12.1 // EC-2.7.10.2	2.7.10.1-RXN
ambiguine I + 2-oxoglutarate + chloride + dioxygen + H+  ->  ambiguine E + succinate + CO2 + H2O	EC-1.14.20.14	RXN-19289
rot-2'-enonate  ->  4'-hydroxy-rot-2'-enonate		RXN-9059
UDP-N-acetyl-alpha-D-mannosaminuronate + alpha-D-GlcNAc-PP-Und  ->  beta-D-ManNAcA-(1->4)-alpha-D-GlcNAc-PP-Und + UDP + H+	EC-2.4.1.180	UDPMANACATRANS-RXN
6-hydroxy 3,7,4'-methylquercetagetin 6-methyltransferase	EC-2.1.1	RXN-13843
an [(E3-independent) E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine + a [protein]-L-lysine  ->  a [protein]-N6-monoubiquitinyl-L-lysine + an [(E3-independent) E2 ubiquitin-conjugating enzyme]-L-cysteine + H+	EC-2.3.2.24	RXN-16313
5-hydroxy-L-lysine + NAD+  ->  5-oxo-L-lysine + NADH + H+	EC-1.1.1	RXN-22525
geranyl diphosphate  ->  (-)-2-carene + diphosphate	EC-4.2.3	RXN-8577
L-tryptophan + chloride + FADH2 + dioxygen  ->  7-chloro-L-tryptophan + FAD + 2 H2O	EC-1.14.19.9	RXN-10842
unknown reaction		RXN-13311
n alpha-D-Gal-(1->3)-(alpha-L-Fuc-(1->2))-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-PP-Und  ->  Escherichia coli serotype O:86 O antigen + n-1 di-trans,octa-cis-undecaprenyl diphosphate + n-1 H+	EC-2.4.99	RXN-22037
S-adenosyl-L-methionine + a cytosine in DNA  ->  S-adenosyl-L-homocysteine + an N4-methylcytosine in DNA + H+	EC-2.1.1.113	2.1.1.113-RXN
2 3-phospho-D-glycerate + 2 H+  <-  D-ribulose-1,5-bisphosphate + CO2 + H2O	EC-4.1.1.39	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
acetyl-CoA + 3 malonyl-CoA + H2O + 2 H+  ->  orsellinate + 3 CO2 + 4 coenzyme A + H2O	EC-2.3.1.M46	RXN-18836
1-dehydrotestosterone + a reduced two electron carrier  ->  Delta1-dihydrotestosterone + an oxidized electron carrier	EC-1.3.99	RXN-21485
4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene + dioxygen  ->  5-formylferulate + vanillin	EC-1.13.11	RXN-15820
protoheme + 3 a reduced two electron carrier + 3 dioxygen + 2 H+  ->  mycobilin b + Fe2+ + 3 an oxidized electron carrier + 3 H2O	EC-1.14.99.57	RXN-18347
Ni-sirohydrochlorin + 2 L-glutamine + 2 ATP + 2 H2O  ->  Ni-sirohydrochlorin a,c-diamide + 2 L-glutamate + 2 ADP + 2 phosphate + 2 H+	EC-6.3.5.12	RXN-8060
4-(3'-acetyl-5'-hydroxy-4'-oxo-1',4'-dihydronapthalen-2'-yl)-3-oxobutanoate-[PKS-acp] + H2O  ->  4-(3'-acetyl-5'-hydroxy-4'-oxo-1',4'-dihydronapthalen-2'-yl)-3-oxobutanoate + polyketide synthase + H+	EC-3.1.2	RXN1A0-6307
3-oxo-24-ethyl-cholest-4-en-26-oate:CoA ligase	EC-6.2.1	RXN-12785
cyanidin 3-O-[beta-D-glucosyl-(1->6)]-[beta-D-xylosyl-(1->2)]-beta-D-galactoside + 1-O-sinapoyl-beta-D-glucose  ->  cyanidin 3-O-[6-O-sinapoyl-beta-D-glucosyl-(1->6)]-[beta-D-xylosyl-(1->2)]-beta-D-galactoside + D-glucopyranose + H+	EC-2.3.1.213	RXN-15322
24-methyldesmosterol + NADPH + H+  ->  campesterol + NADP+		RXN-708
(+)-cis-sabinol + NAD+  =  (+)-sabinone + NADH + H+	EC-1.1.1.228	+-SABINOL-DEHYDROGENASE-RXN
(R)-4'-phosphopantothenoyl-L-cysteine + H+  ->  4'-phosphopantetheine + CO2	EC-4.1.1.36	P-PANTOCYSDECARB-RXN
acrolein + NADPH + H+  ->  1-propanal + NADP+	EC-1.3.1	RXN-12281
ATP + amicoumacin A  ->  ADP + amicoumacin A 2-phosphate + H+	EC-2.7.1.230	RXN-20941
XMP + ammonia + ATP  ->  GMP + AMP + diphosphate + H+		GMP-SYN-NH3-RXN
an N-terminal-L-methionyl-glycyl-[protein] + H2O  ->  an N-terminal glycyl-[protein] + L-methionine	EC-3.4.11.18	RXN-17875
glycine + gamma-L-glutamyl-D-alanine + ATP  ->  norophthalmate + ADP + phosphate + H+	EC-6.3.2.3	RXN-20407
cyanophycin + n H2O  ->  n N-beta-aspartyl-L-arginine	EC-3.4.15.6	3.4.15.6-RXN
L-arabinofuranose  <-->  L-arabinopyranose		RXN-14809
deoxycholate + NAD+  <-->  3-dehydrodeoxycholate + NADH + H+	EC-1.1.1.52	RXN-17396
2 L-ascorbate + hydrogen peroxide + 2 H+  ->  2 monodehydroascorbate radical + 2 H2O		RXN-3521
(9Z,12Z)-hexadeca-9,12-dienoyl-CoA + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  (9Z,12Z,15Z)-hexadeca-9,12,15-trienoyl-CoA + 2 a ferricytochrome b5 + 2 H2O	EC-1.14.19.13	RXN-9617
ATP + (R)-pantoate  ->  ADP + (R)-4-phosphopantoate + H+	EC-2.7.1.169	RXN-11782
8'-apo-beta-carotenal + dioxygen  ->  13-apo-beta-carotenone + 2,6-dimethyldeca-2,4,6,8-tetraenedial	EC-1.13.11.82	RXN-14333
CDP-2,3-bis-O-sesterterpanyl-sn-glycerol + L-serine  ->  2,3-bis-O-sesterterpanyl-sn-glycero-1-phosphoserine + CMP + H+	EC-2.7.8.38	RXN-23128
D-ribulose + ATP  ->  D-ribulose 1-phosphate + ADP + H+	EC-2.7.1.51	DARABKIN-RXN
an organic molecule + iodide + hydrogen peroxide + H+  ->  an iodo organic compound + 2 H2O	EC-1.11.1	RXN-11337
CTP + 2-hydroxyethylphosphonate  ->  cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} + diphosphate	EC-2.7.7.104	RXN-19876
a (1->4)-alpha-D-glucan + n H2O  ->  n a (1->4)-alpha-D-glucan	EC-3.2.1.1	ALPHA-AMYL-RXN
a nucleoside triphosphate + a hexose 1-phosphate + H+  =  a nucleoside diphosphate-hexose + diphosphate	EC-2.7.7.28	2.7.7.28-RXN
acetyl-CoA + dithioholothin  ->  dithioholomycin + coenzyme A	EC-2.3.1	RXN-16879
adenosylcobinamide-GDP + 5-methoxy-6-methylbenzimidazole ribotide phosphate  ->  Coalpha-[alpha-(5-methoxy-6-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+	EC-2.7.8.26	RXN-19305
N-beta-D-glucosyl-(indol-3-yl)acetyl-L-aspartate + H2O  ->  N-beta-D-glucosyl-(indol-3-yl)acetate + L-aspartate	EC-3.5.1	RXN-9077
urea + H2O + 2 H+  ->  2 ammonium + CO2	EC-3.5.1.5	UREASE-RXN
2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate  ->  L-aspartate 4-semialdehyde + glycerone phosphate	EC-4.1.2.56	RXN-13865
hinokinin synthase	EC-1.14.19	RXN-16362
D-cycloserine + a [protein]-(PLP-imine)-L-lysine  <-->  PLP-D-cycloserine aldimine + a [protein]-L-lysine + H+		RXN-22544
(2E,6E)-farnesyl diphosphate  ->  (+)-gamma-bulgarene + diphosphate	EC-4.2.3	RXN-8593
3-O-methyldopa + 2-oxoglutarate  <-->  3-methoxy-4-hydroxyphenylpyruvate + L-glutamate		RXN-10871
