data,d2,ec,notes
RXN-8668,RXN-8668,1.8.4.11,
RXN-8759,RXN-8759,NA,
RXN-9654,RXN-9654,2.3.1.41,
RXN-9777: NO_NAME,RXN-9777,7.2.4.1,
RXN-9777,RXN-9777,7.2.4.1,
SIALATE-O-ACETYLESTERASE-RXN,SIALATE-O-ACETYLESTERASE,3.1.1.53,
SUCROSEPHOSPHO-RXN,SUCROSEPHOSPHO,2.7.1.211,
TDCEACT,TDCEACT,1.97.1.4,
TDCEACT-RXN,TDCEACT,1.97.1.4,
TMAOREDUCT,TMAOREDUCT,1.6.6.9,
TMAOREDUCT-RXN,TMAOREDUCT,1.6.6.9,
TRANS,TRANS,7.1.1.1,TRANS-RXN0-277
TRANS-RXN0-162,TRANS-RXN0-162,7.6.2.5,
TRANS-RXN0-222,TRANS-RXN0-222,7.4.2.1,
TRANS-RXN0-277,TRANS-RXN0-277,7.1.1.1,
TRANS-RXN0-540,TRANS-RXN0-540,2.7.1.199,
TRANS-RXN0-593,TRANS-RXN0-593,7.4.2.12,
TRANS-RXN-153A,TRANS-RXN-153A,2.7.1.199,
TRANS-RXN-155B,TRANS-RXN-155B,2.7.1.196,
TRANS-RXN-156,TRANS-RXN-156,2.7.1.196,
TRANS-RXN-157,TRANS-RXN-157,2.7.1.196,
TRANS-RXN-161,TRANS-RXN-161,2.7.1.196,
TRANS-RXN-167A,TRANS-RXN-167A,2.7.1.196,
TRANS-RXN-168,TRANS-RXN-168,2.7.1.196,
TRANS-RXN-169,TRANS-RXN-169,2.7.1.196,
TRANS-RXN-2,TRANS-RXN-2,7.2.2.6,
TRANS-RXN-250,TRANS-RXN-250,7.2.2.14,
TRANS-RXN-265,TRANS-RXN-265,NA,
TRNA-CYTIDYLYLTRANSFERASE,TRNA-CYTIDYLYLTRANSFERASE,2.7.7.72,
TRNA-CYTIDYLYLTRANSFERASE-RXN,TRNA-CYTIDYLYLTRANSFERASE,2.7.7.72,
TRNA-NUCLEOTIDYLTRANSFERASE-RXN,TRNA-NUCLEOTIDYLTRANSFERASE,2.7.7.56,
TRNA-S-TRANSFERASE,TRNA-S-TRANSFERASE,2.8.1,2.8.1.M2
TRNA-S-TRANSFERASE-RXN,TRNA-S-TRANSFERASE,2.8.1,
URITRANS,URITRANS,2.7.7.59,
URITRANS-RXN,URITRANS,2.7.7.59,
