"EC","EC2","ec"
"3.1.1.66-RXN","3.1.1.66","3.1.1.66"
"RXN-17040","RXN-17040","1.14.14"
"RXN-9226","RXN-9226","1.14.13.M56"
"RXN-13979","RXN-13979","2.3.1"
"RXN-8732","RXN-8732","3.2.2.19"
"RXN-19510","RXN-19510","6.3.2"
"RXN-22184","RXN-22184","5.3.3"
"4.2.2.8-RXN","4.2.2.8","4.2.2.8"
"RXN-10245","RXN-10245","5.3.2.6"
"RXN-16504","RXN-16504","6.3.2"
"SECONDARY-ALCOHOL-OXIDASE-RXN","SECONDARY-ALCOHOL-OXIDASE","1.1.3.18"
"RXN-8283","RXN-8283","2.4.1"
"RXN2DNV-25","RXN2DNV-25","2.4.1"
"RXN-21767","RXN-21767","1.1.1.35"
"RXN-7644","RXN-7644","1.1.1.14"
"1.13.12.12-RXN","1.13.12.12","1.13.11.67"
"PROPCOASYN-RXN","PROPCOASYN","1.3.8.1"
"RXN-12455","RXN-12455","1.3.1.88"
"RXN-21143","RXN-21143","2.3.2.35"
"IPPISOM-RXN","IPPISOM","5.3.3.2"
"RXN-15482","RXN-15482","1.1.1"
"RXN-18050","RXN-18050","2.3.1.M32"
"RXN0-6487","RXN0-6487","1.1.1"
"RXN-4721","RXN-4721","2.4.1"
"RXN-11968","RXN-11968","1.1.1.347"
"RXN-23299","RXN-23299","1.3.1"
"ENDOPOLYPHOSPHATASE-RXN","ENDOPOLYPHOSPHATASE","3.6.1.10"
"RXN-11472","RXN-11472","1.1.1.391"
"BENZYL-ALC-DEHYDROGENASE-RXN","BENZYL-ALC-DEHYDROGENASE","1.1.1.90"
"RXN-9242","RXN-9242","2.1.1.201"
"RXN-13996","RXN-13996","3.5.4.34"
"RXN-8756","RXN-8756","1.2.1.100"
"RXN-11011","RXN-11011","6.3.2"
"RXN-22205","RXN-22205","1.1.1.270"
"2.4.1.110-RXN","2.4.1.110","2.4.1.110"
"4.3.1.15-RXN","4.3.1.15","4.3.1.15"
"RXN-10430","RXN-10430","6.3"
"RXN-16523","RXN-16523","3.5.1"
"RXN-19009","RXN-19009","2.4.1.214"
"SERINE-SULFATE-AMMONIA-LYASE-RXN","SERINE-SULFATE-AMMONIA-LYASE","4.3.1.10"
"RXN-16049","RXN-16049","1.14.19.35"
"RXN-8300","RXN-8300","1.14.19.23"
"RXN2DNV-5","RXN2DNV-5","2.4.99.13"
"RXN-12978","RXN-12978","6.2.1.3"
"RXN-21783","RXN-21783","1.1.1.35"
"1.14.12.4-RXN","1.14.12.4","1.14.13.242"
"PROTOCATECHUATE-DECARBOXYLASE-RXN","PROTOCATECHUATE-DECARBOXYLASE","4.1.1.63"
"RXN-12476","RXN-12476","1.3.1.90"
"RXN-18523","RXN-18523","4.2.3"
"ISOORIENTIN-3-O-METHYLTRANSFERASE-RXN","ISOORIENTIN-3-O-METHYLTRANSFERASE","2.1.1.78"
"RXN-15506","RXN-15506","3.2.1"
"RXN-18068","RXN-18068","4.2.1.M11"
"RXN-14996","RXN-14996","3.1.4.57"
"RXN-4737","RXN-4737","2.4.1"
"RXN-9845","RXN-9845","5.1.99.4"
"RXN-11989","RXN-11989","1.13.11.59"
"ETHANOLAMINE-KINASE-RXN","ETHANOLAMINE-KINASE","2.7.1.82"
"RXN-11502","RXN-11502","3.2.1"
"RXN-17567","RXN-17567","1.14.13.226"
"RXN-20073","RXN-20073","1.14.13.245"
"BILIRUBIN-OXIDASE-RXN","BILIRUBIN-OXIDASE","1.3.3.5"
"RXN-14511","RXN-14511","3.1.3"
"RXN-17078","RXN-17078","2.5.1"
"RXN-9286","RXN-9286","1.14.13.M81"
"RXN-14014","RXN-14014","1.17.1.8"
"RXN-8775","RXN-8775","1.2.1.26"
"RXN-22223","RXN-22223","6.3.1"
"2.4.1.138-RXN","2.4.1.138","2.4.1.138"
"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN","4OHBENZOATE-OCTAPRENYLTRANSFER","2.5.1.39"
"RXN-16544","RXN-16544","1.14.19"
"SPHINGANINE-1-PHOSPHATE-ALDOLASE-RXN","SPHINGANINE-1-PHOSPHATE-ALDOLASE","4.1.2.27"
"RXN-13534","RXN-13534","2.1.1"
"RXN-16067","RXN-16067","2.3.1.51"
"RXN-8317","RXN-8317","1.14.19.35"
"RXN3O-1070","RXN3O-1070","1.1.1.101"
"RXN-12999","RXN-12999","4.2.3"
"1.14.13.58-RXN","1.14.13.58","1.14.13.58"
"PURINE-NUCLEOSIDASE-RXN","PURINE-NUCLEOSIDASE","3.2.2.1"
"RXN-18557","RXN-18557","6.1.3.1"
"RXN-21185","RXN-21185","6.2.2.2"
"RXN-15533","RXN-15533","1.14.14"
"RXN-18085","RXN-18085","1.14.99.55"
"RXN0-6727","RXN0-6727","4.2.1.136"
"RXN-12494","RXN-12494","4.2.3.83"
"RXN-9863","RXN-9863","1.14.11"
"RXN-23347","RXN-23347","1.14.13"
"FATTY-ACID-SYNTHASE-RXN","FATTY-ACID-SYNTHASE","2.3.1.85"
"RXN-11527","RXN-11527","4.2.3.23"
"RXN-17583","RXN-17583","4.4.1.23"
"RXN-20092","RXN-20092","1.13.11.88"
"BUTYRATE-KINASE-RXN","BUTYRATE-KINASE","2.7.2.14 // EC-2.7.2.7"
"3.1.26.5-RXN","3.1.26.5","3.1.26.5"
"RXN-14527","RXN-14527","2.1.1"
"RXN-17097","RXN-17097","4.2.1.162"
"RXN-9308","RXN-9308","2.4.1.M33"
"RXN-14039","RXN-14039","2.5.1.153"
"RXN-8792","RXN-8792","1.3.7.15"
"RXN-11053","RXN-11053","1.2.1.77"
"RXN-19574","RXN-19574","3.4.19.13"
"RXN-22242","RXN-22242","3.5.1.108"
"2.4.1.161-RXN","2.4.1.161","2.4.1.161"
"5.1.1.17-RXN","5.1.1.17","5.1.1.17"
"RXN-10469","RXN-10469","1.11.1.8"
"RXN-16561","RXN-16561","2.3.1.155"
"STEROL-O-ACYLTRANSFERASE-RXN","STEROL-O-ACYLTRANSFERASE","2.3.1.26"
"RXN-13555","RXN-13555","1.14.16.7"
"RXN-16083","RXN-16083","5.4.99"
"RXN-8336","RXN-8336","5.2.1"
"RXN3O-4157","RXN3O-4157","2.6.1.58"
"RXN-7733","RXN-7733","1.12.98.3"
"PYRIDOXKIN-RXN","PYRIDOXKIN","2.7.1.35"
"RXN-18575","RXN-18575","4.1.1.114"
"RXN-21208","RXN-21208","1.11.2.6"
"L-AMINO-ACID-DEHYDROGENASE-RXN","L-AMINO-ACID-DEHYDROGENASE","1.4.1.5"
"RXN-15550","RXN-15550","2.6.1"
"RXN-12514","RXN-12514","2.5.1.104"
"RXN-15031","RXN-15031","3.1.2"
"RXN-5021","RXN-5021","2.4.1.81"
"RXN-9880","RXN-9880","1.3.1.119"
"RXN-20649","RXN-20649","1.2.1.3"
"RXN-23373","RXN-23373","3.2.1.bc"
"FMNREDUCT-RXN","FMNREDUCT","1.5.1.39"
"RXN-17603","RXN-17603","1.2.1.98"
"RXN-20117","RXN-20117","1.3.1.72"
"CARNCOARACE-RXN","CARNCOARACE","5.1.1"
"3.1.3.66-RXN","3.1.3.66","3.1.3.66"
"RXN-14544","RXN-14544","2.4.1.302"
"RXN-17113","RXN-17113","1.3.3.6"
"RXN-9339","RXN-9339","1.1.1"
"RXN-14063","RXN-14063","2.7.1.156"
"RXN-19593","RXN-19593","3.4.13.23"
"RXN-22263","RXN-22263","1.1.1.141"
"2.4.1.194-RXN","2.4.1.194","2.4.1.194"
"RXN-16585","RXN-16585","6.3.2"
"SUCCGLUALDDEHYD-RXN","SUCCGLUALDDEHYD","1.2.1.71"
"RXN-13590","RXN-13590","1.14.13"
"RXN-16099","RXN-16099","1.14.19.4"
"RXN-8357","RXN-8357","3.1.1.14"
"RXN3O-9876","RXN3O-9876","2.3.1"
"RXN-13054","RXN-13054","6.3.2.38"
"RXN-21847","RXN-21847","2.4.1.380"
"RXN-7754","RXN-7754","2.1.1"
"1.14.21.6-RXN","1.14.21.6","1.14.19.20"
"QOR-RXN","QOR","1.6.5.5"
"RXN-21226","RXN-21226","2.3.1.7"
"L-LACTATE-DEHYDROGENASE-RXN","L-LACTATE-DEHYDROGENASE","1.1.1.27"
"RXN-18126","RXN-18126","1.3.1"
"RXN0-7002","RXN0-7002","3.2.1.86"
"RXN-12537","RXN-12537","1.14.11"
"RXN-15048","RXN-15048","1.1.1.364"
"RXN-5110","RXN-5110","4.2.3.15"
"RXN-20666","RXN-20666","3.6.1.69"
"FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN","FORMYLTETRAHYDROFOLATE-DEHYDROGENASE","1.5.1.6"
"RXN-17621","RXN-17621","1.14.19.48"
"RXN-20140","RXN-20140","1.1.1.144"
"CATECHOL-23-DIOXYGENASE-RXN","CATECHOL-23-DIOXYGENASE","1.13.11.2"
"3.1.4.2-RXN","3.1.4.2","3.1.4.2"
"RXN-14569","RXN-14569","2.7.7.87"
"RXN-17140","RXN-17140","2.7.4.M1"
"RXN-9359","RXN-9359","2.5.1.74"
"RXN-11562","RXN-11562","2.8.2"
"RXN-14083","RXN-14083","1.14.14.162"
"RXN-22816","RXN-22816","1.1.1.21"
"RXN-19611","RXN-19611","2.5.1.18"
"RXN-22279","RXN-22279","2.4.1"
"2.4.1.216-RXN","2.4.1.216","2.4.1.216"
"6-HEXANOLIDE-HYDROLYSIS-RXN","6-HEXANOLIDE-HYDROLYSIS","3.1.1"
"RXN-16612","RXN-16612","3.2.1.57"
"RXN-19090","RXN-19090","2.7.1.222"
"SULFINOALANINE-DECARBOXYLASE-RXN","SULFINOALANINE-DECARBOXYLASE","4.1.1.29"
"RXN-13610","RXN-13610","3.2.1.119"
"RXN-8386","RXN-8386","1.14.14.141"
"RXN4FS-3","RXN4FS-3","2.7.7"
"RXN-10617","RXN-10617","2.4.1.17"
"RXN-13075","RXN-13075","2.4.1.282"
"RXN-21866","RXN-21866","2.4.1"
"RXN-7780","RXN-7780","2.5.1"
"1.2.1.18-RXN","1.2.1.18","1.2.1"
"RXN-18628","RXN-18628","2.3.1.281"
"RXN-15593","RXN-15593","1.14.11"
"RXN-18147","RXN-18147","3.2.1.205"
"RXN-12564","RXN-12564","3.1.1.63"
"RXN-15067","RXN-15067","3.1.1.4"
"RXN-5182","RXN-5182","2.7.2.17"
"RXN-9914","RXN-9914","1.14.13.1"
"FUMARYLACETOACETASE-RXN","FUMARYLACETOACETASE","3.7.1.2"
"RXN-17640","RXN-17640","1.14.13.230"
"RXN-20166","RXN-20166","1.3.3.8"
"CEPHALOSPORIN-C-TRANSAMINASE-RXN","CEPHALOSPORIN-C-TRANSAMINASE","2.6.1.74"
"RXN-14588","RXN-14588","3.2.1.193"
"RXN-17163","RXN-17163","1.14.14"
"RXN-9380","RXN-9380","4.1.1.96"
"RXN-11580","RXN-11580","2.1.1.168"
"RXN-14104","RXN-14104","4.1.2"
"RXN-22839","RXN-22839","1.14.11.79"
"RXN-8850","RXN-8850","2.1.1.148"
"RXN-11106","RXN-11106","1.1.1.301"
"RXN-19637","RXN-19637","1.14.14.159"
"RXN-22298","RXN-22298","2.5.1"
"2.4.1.237-RXN","2.4.1.237","2.4.1.237"
"6.2.1.34-RXN","6.2.1.34","6.2.1.34"
"RXN-16649","RXN-16649","3.4.16.4"
"TAURINE-DEHYDROGENASE-RXN","TAURINE-DEHYDROGENASE","1.4.99.2"
"RXN-13634","RXN-13634","2.4.1"
"RXN-16138","RXN-16138","3.1.1.4"
"RXN-8412","RXN-8412","1.14.19.16"
"RXN-10635","RXN-10635","4.2.3.85"
"RXN-21883","RXN-21883","2.4.1"
"1.2.1.66-RXN","1.2.1.66","1.1.1.306"
"R161-RXN","R161","1.5.99.4"
"RXN-18647","RXN-18647","1.1.1.eb"
"RXN-21276","RXN-21276","1.13.11.90"
"LEUCINE-DEHYDROGENASE-RXN","LEUCINE-DEHYDROGENASE","1.4.1.9"
"RXN-15622","RXN-15622","2.5.1"
"RXN-18177","RXN-18177","4.4.1.M2"
"RXN0-7119","RXN0-7119","1.1.1"
"RXN-15088","RXN-15088","3.1.1.23"
"RXN-5403","RXN-5403","1.1.3.M5"
"RXN-9946","RXN-9946","3.2.1.147"
"METHYLMALONYL-COA-EPIM-RXN","METHYLMALONYL-COA-EPIM","5.1.99.1"
"RXN-12090","RXN-12090","1.5.3.17"
"GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN","GALACTOSIDE-2-L-FUCOSYLTRANSFERASE","2.4.1.69"
"RXN-17665","RXN-17665","1.14.18.3"
"RXN-20184","RXN-20184","1.14.11.77"
"CHLORIDE-PEROXIDASE-RXN","CHLORIDE-PEROXIDASE","1.11.1.10"
"3.2.1.109-RXN","3.2.1.109","3.2.1.109"
"RXN-14622","RXN-14622","3.2.1.z"
"RXN-9397","RXN-9397","1.1.1.275"
"RXN-11598","RXN-11598","2.1.1.193"
"RXN-14122","RXN-14122","2.7.4.13"
"RXN-22870","RXN-22870","2.1.1"
"RXN-8882","RXN-8882","2.4.1"
"RXN-19663","RXN-19663","4.2.1.M20"
"2.4.1.41-RXN","2.4.1.41","2.4.1.41"
"6PGLUCONDEHYDROG-RXN","6PGLUCONDEHYDROG","1.1.1.351"
"RXN-16667","RXN-16667","1.1.1"
"RXN-19129","RXN-19129","1.11.1.7"
"TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN","TETRAHYDROXYPTERIDINE-CYCLOISOMERASE","5.5.1.3"
"RXN-13654","RXN-13654","4.3.1.28"
"RXN-16154","RXN-16154","1.1.1.330"
"RXN-8429","RXN-8429","4.2.3.55"
"RXN-10652","RXN-10652","1.14.99.M6"
"RXN-13116","RXN-13116","4.2.3.124"
"RXN-21898","RXN-21898","2.4.1"
"RXN-7825","RXN-7825","2.3.1"
"1.3.1.20-RXN","1.3.1.20","1.3.1.20"
"R211-RXN","R211","2.3.3"
"RXN-18664","RXN-18664","2.6.1.115"
"RXN-21295","RXN-21295","2.7.7.77"
"LINB1-RXN","LINB1","3.8.1.5"
"RXN-15645","RXN-15645","2.6.1"
"RXN0-7251","RXN0-7251","3.1.3"
"RXN-12611","RXN-12611","2.5.1.3"
"RXN-15113","RXN-15113","1.14.19.15"
"RXN-5472","RXN-5472","2.4.1.256"
"MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN","MRNA-GUANINE-N7--METHYLTRANSFERASE","2.1.1.56"
"RXN-23459","RXN-23459","5.3.99.5"
"GAPOXNPHOSPHN-RXN","GAPOXNPHOSPHN","1.2.1.12"
"RXN-17685","RXN-17685","1.10.3.16"
"RXN-20215","RXN-20215","2.8.2.15"
"RXN-14655","RXN-14655","1.14.11"
"RXN-14147","RXN-14147","2.6.1.88"
"RXN-22888","RXN-22888","3.2.1.62"
"RXN-8910","RXN-8910","1.8.3"
"2.4.1.83-RXN","2.4.1.83","2.4.1.83"
"ACETOACETYL-COA-HYDROLASE-RXN","ACETOACETYL-COA-HYDROLASE","3.1.2.11"
"RXN-16701","RXN-16701","1.1.1.399"
"THIOL-OXIDASE-RXN","THIOL-OXIDASE","1.8.3.2"
"RXN-13675","RXN-13675","3.4.19.13"
"RXN-8448","RXN-8448","2.1.1.69"
"RXN66-25","RXN66-25","5.3.3.5"
"RXN-10685","RXN-10685","4.2.3.66"
"RXN-13139","RXN-13139","4.2.1.93"
"RXN-21914","RXN-21914","2.4.1"
"1.3.1.73-RXN","1.3.1.73","1.3.1.73"
"R23-RXN","R23","1.1.1"
"RXN-18683","RXN-18683","2.4.1.M21"
"RXN-21312","RXN-21312","1.8.2.7"
"LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN","LONG-CHAIN-ALDEHYDE-DEHYDROGENASE","1.2.1.48"
"RXN-15662","RXN-15662","2.6.1"
"RXN0-7341","RXN0-7341","2.4.1"
"3.5.1.64-RXN","3.5.1.64","3.5.1.64"
"RXN-12639","RXN-12639","2.3.1.75"
"RXN-5822","RXN-5822","3.1.3.108"
"RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN","RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN","2.1.1.11"
"N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN","N-ACETYL-BETA-ALANINE-DEACETYLASE","3.5.1.21"
"RXN-12134","RXN-12134","3.3.2.10"
"RXN-20738","RXN-20738","3.1.1.2"
"RXN-23478","RXN-23478","1.13.11.34"
"GERANIOL-DEHYDROGENASE-RXN","GERANIOL-DEHYDROGENASE","1.1.1.183"
"RXN-20231","RXN-20231","2.3.1.26"
"CIS-2-ENOYL-COA-REDUCTASE-NADPH-RXN","CIS-2-ENOYL-COA-REDUCTASE-NADPH","1.3.1.37"
"3.2.1.156-RXN","3.2.1.156","3.2.1.156"
"RXN-14678","RXN-14678","1.14.15"
"RXN-17240","RXN-17240","1.1.1.M11"
"RXN-9430","RXN-9430","1.1.1.296"
"RXN-11641","RXN-11641","1.14.14.90"
"RXN-22904","RXN-22904","2.4.1.M79"
"RXN-8936","RXN-8936","1.3.1"
"RXN-19700","RXN-19700","2.4.1.367 // EC-2.4.1.366"
"RXN-22382","RXN-22382","1.7.1.M3"
"2.4.99.2-RXN","2.4.99.2","2.4.3.2"
"ACETYLESTERASE-RXN","ACETYLESTERASE","3.1.1.6"
"RXN-16732","RXN-16732","2.7.1.190"
"RXN-19175","RXN-19175","2.4.1.M35"
"THYMIDINE-TRIPHOSPHATASE-RXN","THYMIDINE-TRIPHOSPHATASE","3.6.1.39"
"RXN-13696","RXN-13696","3.2.1.149"
"RXN-16192","RXN-16192","3.4.16"
"RXN-8472","RXN-8472","2.4.1.330"
"RXN-10704","RXN-10704","4.2.1"
"RXN-21931","RXN-21931","2.4.1"
"RXN-7894","RXN-7894","1.13.11.71"
"1.5.1.19-RXN","1.5.1.19","1.5.1.19"
"R282-RXN","R282","1.3.8.11"
"RXN-18708","RXN-18708","2.8.1"
"RXN-21328","RXN-21328","2.4.1"
"LYSINE-N-ACETYLTRANSFERASE-RXN","LYSINE-N-ACETYLTRANSFERASE","2.3.1.32"
"RXN-18229","RXN-18229","3.5.5.1"
"RXN0-7386","RXN0-7386","1.6.5.2"
"3.5.1.91-RXN","3.5.1.91","3.5.1.91"
"RXN-12661","RXN-12661","1.14.13.171"
"RXN-15188","RXN-15188","1.14.13"
"RXN0-1603","RXN0-1603","3.6.1.66"
"N-FERULOYLGLYCINE-DEACYLASE-RXN","N-FERULOYLGLYCINE-DEACYLASE","3.5.1.71"
"RXN-12152","RXN-12152","6.3.4"
"RXN-23495","RXN-23495","3.3.2.10"
"GLUCONOLACT-RXN","GLUCONOLACT","3.1.1.17"
"RXN-17725","RXN-17725","3.1.3"
"COLCYD-RXN","COLCYD","1.1.1.M5"
"3.2.1.3-RXN","3.2.1.3","3.2.1.3"
"RXN-14694","RXN-14694","1.8.1.19"
"RXN-1726","RXN-1726","1.14.19.23"
"RXN-11662","RXN-11662","1.1.1.35"
"RXN-14183","RXN-14183","1.1.1.345"
"RXN-22934","RXN-22934","1.14.19"
"RXN-8953","RXN-8953","2.6.1.102"
"RXN-11190","RXN-11190","2.5.1.79"
"RXN-22413","RXN-22413","1.3.1.M28"
"RXN-16751","RXN-16751","2.1.1.106"
"RXN-19193","RXN-19193","6.2.1.2"
"TRANS-EPOXYSUCCINATE-HYDROLASE-RXN","TRANS-EPOXYSUCCINATE-HYDROLASE","3.3.2.4"
"RXN-13727","RXN-13727","2.1.1.9"
"RXN-16211","RXN-16211","2.1.1"
"RXN-8488","RXN-8488","1.14.17"
"RXN-10725","RXN-10725","2.3.1"
"RXN-13181","RXN-13181","3.1.1.53"
"RXN-21947","RXN-21947","2.4.1"
"RXN-7938","RXN-7938","3.1.2.18"
"RXN-18725","RXN-18725","2.4.1"
"RXN-21345","RXN-21345","3.5.1.74"
"RXN66-343","RXN66-343","1.3.1.22"
"MALEYLACETOACETATE-ISOMERASE-RXN","MALEYLACETOACETATE-ISOMERASE","5.2.1.2"
"RXN-15717","RXN-15717","6.3.1"
"RXN-18246","RXN-18246","2.4.1.65"
"RXN0-984","RXN0-984","1.14.11.33"
"RXN-12686","RXN-12686","3.1.1.14"
"RXN-15211","RXN-15211","2.7.8.27"
"RXN-6341","RXN-6341","6.3.2.17"
"NADPH-DEHYDROGENASE-FLAVIN-RXN","NADPH-DEHYDROGENASE-FLAVIN","1.5.1.30"
"RXN-12173","RXN-12173","4.2.2.23"
"RXN-20778","RXN-20778","2.3.1.M85"
"GLUCUROISOM-RXN","GLUCUROISOM","5.3.1.12"
"RXN-17745","RXN-17745","3.1.3"
"RXN-20301","RXN-20301","3.5.99"
"CUCURBITACIN-DELTA-23-REDUCTASE-RXN","CUCURBITACIN-DELTA-23-REDUCTASE","1.3.1.5"
"3.2.1.55-RXN","3.2.1.55","3.2.1.55"
"RXN-14711","RXN-14711","1.14.13.235"
"RXN-17282","RXN-17282","2.1.1.M16"
"RXN-11682","RXN-11682","1.14.19.38"
"RXN-14209","RXN-14209","1.2.1"
"RXN-22953","RXN-22953","2.4.1.221"
"RXN-8974","RXN-8974","1.1.1.298"
"RXN-1122","RXN-1122","6.2.1.12"
"RXN-19745","RXN-19745","1.2.1.67"
"ADENINE-DEAMINASE-RXN","ADENINE-DEAMINASE","3.5.4.2"
"2.5.1.39-RXN","2.5.1.39","2.5.1.39"
"RXN-16773","RXN-16773","1.6.3.5"
"RXN-13749","RXN-13749","1.1.1.339"
"RXN-8505","RXN-8505","1.14.14.9"
"RXN-10749","RXN-10749","2.3.1.188"
"RXN-13211","RXN-13211","1.1.3"
"RXN-21963","RXN-21963","2.4.1"
"RXN-7971","RXN-7971","1.1.1.287"
"1.8.4.9-RXN","1.8.4.9","1.8.4.9"
"RXN-18746","RXN-18746","1.14.13"
"RXN66-360","RXN66-360","1.14.15.5"
"MANDELATE-RACEMASE-RXN","MANDELATE-RACEMASE","5.1.2.2"
"RXN-15737","RXN-15737","1.14.19"
"RXN-18263","RXN-18263","2.4.1.344"
"RXN18C3-16","RXN18C3-16","3.2.1"
"RXN-12705","RXN-12705","1.1.1.35"
"RXN-646","RXN-646","3.5.1.107"
"NICOTINATE-GLUCOSYLTRANSFERASE-RXN","NICOTINATE-GLUCOSYLTRANSFERASE","2.4.1.196"
"RXN-12195","RXN-12195","3.6.1.15"
"RXN-2081","RXN-2081","2.1.1"
"GLUTAMINE-N-ACYLTRANSFERASE-RXN","GLUTAMINE-N-ACYLTRANSFERASE","2.3.1.68"
"RXN-17775","RXN-17775","1.3.8.8"
"RXN-20339","RXN-20339","1.3.1.93"
"RXN0-268","RXN0-268","2.8.3.27"
"CYCPHOSDIESTER-RXN","CYCPHOSDIESTER","3.1.4.16"
"3.2.1.75-RXN","3.2.1.75","3.2.1.75"
"RXN-14728","RXN-14728","3.5.1.4"
"RXN-17313","RXN-17313","6.2.1.M2"
"RXN-9485","RXN-9485","4.2.1.142"
"RXN-11708","RXN-11708","1.1.1"
"RXN-14229","RXN-14229","1.3.8.7"
"RXN-22974","RXN-22974","6.2.1.5"
"RXN-19764","RXN-19764","3.2.1.M18"
"ADENYLYLSULFKIN-RXN","ADENYLYLSULFKIN","2.7.1.25"
"2.6.1.18-RXN","2.6.1.18","2.6.1.18"
"RXN-16792","RXN-16792","1.14.12.23"
"RXN-19233","RXN-19233","1.14.13"
"RXN-8992","RXN-8992","2.5.1.90"
"TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN","TRIMETHYLAMINE-OXIDE-ALDOLASE","4.1.2.32"
"RXN-13774","RXN-13774","1.1.1"
"RXN-16250","RXN-16250","3.2.1.40"
"RXN-21979","RXN-21979","1.1.1.213"
"RXN-7998","RXN-7998","2.3.1"
"13-BETA-OLIGOGLUCAN-PHOSPHORYLASE-RXN","13-BETA-OLIGOGLUCAN-PHOSPHORYLASE","2.4.1.30"
"R545-RXN","R545","6.2.1.38"
"RXN66-484","RXN66-484","6.2.1.3"
"MELILOTATE-3-MONOOXYGENASE-RXN","MELILOTATE-3-MONOOXYGENASE","1.14.13.4"
"RXN-15757","RXN-15757","5.4.99"
"RXN-18281","RXN-18281","2.4.3.8"
"RXN18C3-26","RXN18C3-26","2.3.1"
"RXN-12726","RXN-12726","2.5.1.47"
"RXN-15247","RXN-15247","2.5.1.119"
"RXN-6550","RXN-6550","1.14.11"
"NUCLEOSIDE-DIPHOSPHATASE-RXN","NUCLEOSIDE-DIPHOSPHATASE","3.6.1.6"
"RXN-12219","RXN-12219","1.14.18.3"
"RXN-20875","RXN-20875","1.17.3.M1"
"RXN-2841","RXN-2841","1.4.9.1"
"GLY3KIN-RXN","GLY3KIN","2.7.1.31"
"RXN-17791","RXN-17791","2.3.1.16"
"RXN-20355","RXN-20355","3.1.2"
"CYTIDEAM2-RXN","CYTIDEAM2","3.5.4.5"
"RXN-17330","RXN-17330","3.1.3"
"RXN-9504","RXN-9504","6.2.1"
"RXN-11724","RXN-11724","2.6.1"
"RXN-22998","RXN-22998","4.1.1.64"
"RXN-11264","RXN-11264","1.1.1"
"RXN-19792","RXN-19792","3.2.1.15"
"RXN-22485","RXN-22485","2.7.1.130"
"AKBLIG-RXN","AKBLIG","2.3.1.29"
"2.6.1.58-RXN","2.6.1.58","2.6.1.58"
"RXN-16811","RXN-16811","1.1.1"
"RXN-19251","RXN-19251","6.3.2.53"
"RXN-9012","RXN-9012","2.4.1"
"TRYPTOPHAN-2-MONOOXYGENASE-RXN","TRYPTOPHAN-2-MONOOXYGENASE","1.13.12.3"
"RXN-13797","RXN-13797","2.4.1"
"RXN-16267","RXN-16267","1.5.1"
"RXN-13273","RXN-13273","1.2.1"
"RXN-21996","RXN-21996","2.7.7"
"2-DEHYDROPANTOATE-REDUCT-RXN","2-DEHYDROPANTOATE-REDUCT","1.1.1.169"
"R63-RXN","R63","3.5.2"
"RXN-18787","RXN-18787","4.2.3.160"
"RXN66-501","RXN66-501","3.3.2"
"RXN-15774","RXN-15774","2.2.1.12"
"RXN-18300","RXN-18300","2.4.1"
"RXN-8015","RXN-8015","3.5.4.45"
"RXN18C3-41","RXN18C3-41","2.3.1"
"RXN-12744","RXN-12744","4.2.1"
"RXN-15271","RXN-15271","2.4.3.1"
"RXN-6681","RXN-6681","1.14.14.153"
"OHACYL-COA-DEHYDROG-RXN","OHACYL-COA-DEHYDROG","1.1.1.35"
"RXN-12238","RXN-12238","2.5.1.101"
"RXN-20893","RXN-20893","4.1.1"
"GLYCINE--TRNA-LIGASE-RXN","GLYCINE--TRNA-LIGASE","6.1.1.14"
"RXN-17812","RXN-17812","1.14.11.51"
"RXN-20372","RXN-20372","2.3.1.297"
"RXN0-3601","RXN0-3601","2.8.3.21"
"D-ARGINASE-RXN","D-ARGINASE","3.5.3.10"
"RXN-14774","RXN-14774","2.3.1.16"
"RXN-17349","RXN-17349","1.14.13.M16"
"RXN-9567","RXN-9567","1.3.1.105"
"RXN-11743","RXN-11743","2.4.2.1"
"RXN-14270","RXN-14270","2.4.2.7"
"RXN-23019","RXN-23019","3.3.2.10"
"RXN-11283","RXN-11283","1.1.98.2"
"RXN-19813","RXN-19813","2.7.2.18"
"RXN-22503","RXN-22503","2.8.2"
"ALCOHOL-O-ACETYLTRANSFERASE-RXN","ALCOHOL-O-ACETYLTRANSFERASE","2.3.1.84"
"2.7.1.145-RXN","2.7.1.145","2.7.1.145"
"RXN-16828","RXN-16828","1.14.14"
"RXN-19268","RXN-19268","1.14.20.11"
"RXN-9035","RXN-9035","2.4.1"
"TYROSINE-DECARBOXYLASE-RXN","TYROSINE-DECARBOXYLASE","4.1.1.28 // EC-4.1.1.25"
"RXN-13814","RXN-13814","2.4.1"
"RXN-16288","RXN-16288","5.5.1.26"
"RXN-8555","RXN-8555","4.2.3"
"RXN-10822","RXN-10822","2.6.1"
"RXN-13291","RXN-13291","1.3.1.97"
